instrument,support_ambit,name,url
Ayuda parcialmente reembolsable,Investigación y desarrollo,Proyectos de I + D,https://www.cdti.es/node/115
Ayuda parcialmente reembolsable,Investigación y desarrollo,Actuación conjunta ISCIII-CDTI,https://www.cdti.es/node/180
Ayuda parcialmente reembolsable,Investigación y desarrollo,Proyectos de I+D de Transferencia Tecnológica Cervera,https://www.cdti.es/node/18478
Ayuda parcialmente reembolsable,Investigación y desarrollo,Proyectos de I+D Aeroespacial y Salud,https://www.cdti.es/node/19033
Ayuda parcialmente reembolsable,Innovación,Línea Directa de Expansión,https://www.cdti.es/node/191
Ayuda parcialmente reembolsable,Innovación,Línea Directa de Innovación,https://www.cdti.es/node/18458
Ayuda parcialmente reembolsable,Innovación,Proyectos de Innovación FEMPA,https://www.cdti.es/node/18476
Ayuda parcialmente reembolsable,Innovación,Proyectos de Inversión FEMPA,https://www.cdti.es/node/18484
Ayuda parcialmente reembolsable,Innovación,Línea Directa de Expansión Aeroespacial y Salud,https://www.cdti.es/node/19034
Ayuda parcialmente reembolsable,Innovación,Línea Directa de Innovación Aeroespacial y Salud,https://www.cdti.es/node/19785
Subvención,Investigación y desarrollo,Programa Tecnológico de Automoción Sostenible (PTAS),https://www.cdti.es/node/183
Subvención,Investigación y desarrollo,CDTI-Era-Net,https://www.cdti.es/node/187
Subvención,Investigación y desarrollo,CDTI-Eurostars,https://www.cdti.es/node/188
Subvención,Investigación y desarrollo,Misiones Ciencia e Innovación,https://www.cdti.es/node/189
Subvención,Investigación y desarrollo,Proyectos de I+D: Audiovisual y Videojuegos,https://www.cdti.es/node/181
Subvención,Investigación y desarrollo,Programa Tecnológico Aeronáutico (PTA),https://www.cdti.es/node/447
Subvención,Investigación y desarrollo,Ayudas PYMES Sello de Excelencia,https://www.cdti.es/node/450
Subvención,Investigación y desarrollo,Ayudas Cervera para Centros Tecnológicos,https://www.cdti.es/node/477
Subvención,Investigación y desarrollo,Misiones PERTE Chip,https://www.cdti.es/node/2701
Subvención,Investigación y desarrollo,CDTI-Partenariados Pilar 2 (SERA),https://www.cdti.es/node/18761
Subvención,Investigación y desarrollo,Programa Tecnológico Espacial (PTE),https://www.cdti.es/node/21114
Subvención,Investigación y desarrollo,TransMisiones,https://www.cdti.es/node/21158
Subvención,Investigación y desarrollo,Proyectos Multi-país,https://www.cdti.es/node/21356
Subvención,Investigación y desarrollo,KSSP Financiación Nacional,https://www.cdti.es/node/21439
Subvención,Innovación,Ecosistemas de Innovación,https://www.cdti.es/node/19407
Subvención,Nuevas empresas,Ayudas Neotec,https://www.cdti.es/node/709
Capital riesgo,Nuevas empresas,Innvierte,https://www.cdti.es/node/194
Capital riesgo,PYMES Y midcaps,Innvierte,https://www.cdti.es/node/194
Otras iniciativas,Investigación y desarrollo,IPCEI Med4Cure: Convocatoria de Expresiones de Interés,https://www.cdti.es/node/665
